,Unnamed: 0,business_id,name,city,state,postal_code,latitude,longitude,is_open,categories,attributes.GoodForKids,attributes.NoiseLevel,attributes.RestaurantsDelivery,attributes.GoodForMeal,attributes.Alcohol,attributes.Caters,attributes.WiFi,attributes.RestaurantsTakeOut,attributes.BusinessAcceptsCreditCards,attributes.Ambience,attributes.BusinessParking,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.OutdoorSeating,attributes.HasTV,attributes.BikeParking,attributes.RestaurantsReservations,attributes.RestaurantsPriceRange2,attributes.RestaurantsAttire,attributes.BusinessAcceptsBitcoin,attributes.ByAppointmentOnly,attributes.AcceptsInsurance,attributes.Music,attributes.GoodForDancing,attributes.CoatCheck,attributes.HappyHour,attributes.BestNights,attributes.WheelchairAccessible,attributes.DogsAllowed,attributes.BYOBCorkage,attributes.DriveThru,attributes.Smoking,attributes.AgesAllowed,attributes.HairSpecializesIn,attributes.Corkage,attributes.BYOB,attributes.DietaryRestrictions,attributes.Open24Hours,attributes.RestaurantsCounterService,hours.Monday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,hours.Tuesday,order,circle
8494,6079,50989,Wendy's,Mesa,AZ,85209,33.3900573,-111.6821656,1,"Burgers, Restaurants, Fast Food",TRUE,'average',FALSE,,'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,102652,1
8664,6249,118593,Wendy's,Cave Creek,AZ,85331,33.797861,-111.977589,1,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,,u'none',FALSE,,TRUE,TRUE,None,,,FALSE,FALSE,FALSE,TRUE,TRUE,1,'casual',,,,,,,,,,,,,,,,,,,,,9:0-22:30,9:0-22:30,9:0-22:30,9:0-23:30,9:0-23:30,9:0-22:30,9:0-22:30,105748,0
8977,6562,26344,Wendy's,Phoenix,AZ,85032,33.6010865,-111.9797526,1,"Fast Food, Burgers, Restaurants",TRUE,u'loud',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}",u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,TRUE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,111001,0
9237,6822,8797,Wendy's,Central City,AZ,85034,33.439648,-112.026154,1,"Fast Food, Breakfast & Brunch, Burgers, Restaurants",TRUE,,FALSE,,,FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,,FALSE,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,115451,0
9309,6894,99892,Wendy's,Glendale,AZ,85308,33.6393646,-112.1870097,1,"Burgers, Restaurants, Fast Food",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,116469,0
9381,6966,148352,Wendy's,Mesa,AZ,85205,33.415045,-111.734511,1,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,None,u'none',,,TRUE,TRUE,None,None,,TRUE,FALSE,FALSE,FALSE,FALSE,2,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,117532,1
9469,7054,60619,Wendy's,Phoenix,AZ,85027,33.6714433,-112.1178914,1,"Burgers, Restaurants, Fast Food",TRUE,'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,119002,0
9486,7071,78993,Wendy's,Phoenix,AZ,85029,33.5813723,-112.1242145,1,"Burgers, Restaurants, Fast Food",TRUE,u'average',FALSE,,u'none',FALSE,u'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,119226,0
9523,7108,125313,Wendy's,Phoenix,AZ,85339,33.37821737,-112.1355512,1,"Fast Food, Burgers, Food, Restaurants",TRUE,u'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,u'free',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,119681,0
9631,7216,91985,Wendy's,Gilbert,AZ,85296,33.3343543,-111.7550615,1,"Burgers, Restaurants, Fast Food",TRUE,,FALSE,,,,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,TRUE,,,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,121590,0
10251,7836,142207,Wendy's,Gilbert,AZ,85295,33.2987728,-111.7439164,1,"Restaurants, Hot Dogs, Burgers, Fast Food",TRUE,,FALSE,,u'none',,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,TRUE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,132010,0
10517,8102,189442,Wendy's,Chandler,AZ,85286,33.24938086,-111.840018,1,"Food, Burgers, Restaurants, Salad, Fast Food",TRUE,u'very_loud',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,TRUE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,9:30-22:0,136918,0
10567,8152,90057,Wendy's,Gilbert,AZ,85233,33.3664675,-111.8412881,1,"Fast Food, Restaurants, Burgers",TRUE,'average',FALSE,,'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,9:0-0:0,9:0-0:0,9:0-0:0,9:0-1:0,9:0-1:0,9:0-0:0,9:0-0:0,137667,0
10932,8517,30955,Wendy's,Phoenix,AZ,85016,33.5096189,-112.0375069,1,"Burgers, Restaurants, Fast Food",TRUE,u'quiet',FALSE,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,TRUE,,,,,,,,,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,7:0-2:0,143897,1
10974,8559,172547,Wendy's,Phoenix,AZ,85035,33.4762504,-112.2211548,1,"Fast Food, Restaurants, Burgers",TRUE,'average',FALSE,,'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,144561,0
11319,8904,190373,Wendy's,Gilbert,AZ,85297,33.27797689,-111.7879365,1,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,TRUE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,150445,0
11623,50,72805,Wendy's,Champaign,IL,61820,40.11080479,-88.2302966,0,"Restaurants, Fast Food, Burgers",TRUE,u'quiet',FALSE,,u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,FALSE,TRUE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,9:30-0:0,9:30-0:0,9:30-0:0,9:30-0:0,9:30-0:0,9:30-0:0,9:30-0:0,16151,1
11804,231,127543,Wendy's,Champaign,IL,61820,40.09088192,-88.24630126,0,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,,,,,TRUE,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70614,1
12068,495,53820,Wendy's,Urbana,IL,61802,40.1172246,-88.2051296,1,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,,TRUE,FALSE,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,9:0-2:0,141103,1
12102,529,102351,Wendy's,Champaign,IL,61822,40.140347,-88.2583868,1,"Fast Food, Burgers, Restaurants",TRUE,u'quiet',FALSE,,u'none',FALSE,u'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,150145,1
12277,157,14853,Wendy's,Charlotte,NC,28213,35.2757164,-80.7931498,1,"Hot Dogs, Burgers, Fast Food, Restaurants",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,7372,0
12442,322,123054,Wendy's,Charlotte,NC,28270,35.1403487,-80.7362745,1,"Fast Food, Burgers, Restaurants",TRUE,'quiet',FALSE,,u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1,'casual',,,,,,,,,,,,1,,,,,,,,,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,15040,0
12493,373,16127,Wendy's,Stanley,NC,28164,35.355244,-81.091854,1,"Fast Food, Restaurants, Burgers",,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,18080,0
12506,386,177167,Wendy's,Charlotte,NC,28208,35.22024918,-80.94733429,1,"Fast Food, Restaurants, Burgers",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,FALSE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,18426,0
12511,391,58238,Wendy's,Gastonia,NC,28054,35.2627229,-81.1569273,0,"Burgers, Hot Dogs, Restaurants, Fast Food",FALSE,,FALSE,,u'none',,,TRUE,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,18696,0
12599,479,71616,Wendy's,Charlotte,NC,28215,35.251223,-80.657064,1,"Fast Food, Burgers, Restaurants",FALSE,,FALSE,,,,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22353,0
13026,906,47865,Wendy's,Charlotte,NC,28205,35.2159398,-80.7803021,1,"Restaurants, Burgers, Hot Dogs, Fast Food",TRUE,u'average',FALSE,,u'none',FALSE,'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,42460,0
13096,976,74155,Wendy's,Denver,NC,28037,35.4499044,-80.99425065,1,"Burgers, Fast Food, Restaurants",TRUE,u'average',FALSE,,u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,45644,0
13276,1156,45918,Wendy's,Indian Trail,NC,28079,35.0824321,-80.6598512,1,"Burgers, Restaurants, Fast Food",TRUE,,,,,,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,FALSE,,,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53741,0
13309,1189,115773,Wendy's,Charlotte,NC,28204,35.2141379,-80.8353793,1,"Food, Fast Food, Restaurants, Burgers",TRUE,u'loud',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,55407,0
13569,1449,175188,Wendy's,Charlotte,NC,28277,35.0513207,-80.7705561,1,"Restaurants, Fast Food, Food, Burgers",TRUE,u'quiet',FALSE,,u'none',FALSE,,TRUE,TRUE,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,,,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,66689,0
13611,1491,80935,Wendy's,Charlotte,NC,28208,35.2461011,-80.8932264,1,"Restaurants, Hot Dogs, Fast Food, Burgers",TRUE,u'average',FALSE,,u'none',FALSE,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,FALSE,FALSE,FALSE,FALSE,FALSE,2,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,68943,0
13621,1501,62345,Wendy's,Charlotte,NC,28277,35.0615538,-80.8156107,1,"Food, Restaurants, Fast Food, Burgers",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,69334,0
13640,1520,55858,Wendy's,Gastonia,NC,28054,35.26264286,-81.15302995,1,"Burgers, Restaurants, Fast Food",TRUE,,FALSE,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,12:0-0:0,70282,0
13734,1614,150909,Wendy's,Charlotte,NC,28212,35.2023732,-80.7343671,1,"Food, Fast Food, Burgers, Restaurants",TRUE,,FALSE,,,,,TRUE,TRUE,,,,TRUE,FALSE,FALSE,,FALSE,1,'formal',,,,,,,,,,,,,,,,,,,,,,,,,,,,73862,0
13814,1694,27892,Wendy's,Charlotte,NC,28213,35.3118386,-80.7130172,1,"Fast Food, Restaurants, Burgers",TRUE,u'loud',FALSE,,'none',,'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,77687,0
13933,1813,120740,Wendy's,Charlotte,NC,28273,35.1100489,-80.882746,1,"Restaurants, Fast Food, Burgers",TRUE,u'quiet',FALSE,,u'none',FALSE,u'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,82923,0
13972,1852,61355,Wendy's,Charlotte,NC,28210,35.2298838,-80.9236899,1,"Burgers, Restaurants, Fast Food",TRUE,u'average',FALSE,,u'none',FALSE,u'no',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,FALSE,TRUE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,84437,0
14040,1920,25045,Wendy's,Huntersville,NC,28078,35.4090152,-80.8553793,1,"Restaurants, Burgers, Hot Dogs, Fast Food",TRUE,u'quiet',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,TRUE,,FALSE,1,u'casual',,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,88273,0
14110,1990,51171,Wendy's,Charlotte,NC,28277,35.0295307,-80.8509383,1,"Fast Food, Burgers, Restaurants, Hot Dogs",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,91604,0
14319,2199,79955,Wendy's,Charlotte,NC,28215,35.235859,-80.7386995,1,"Fast Food, Burgers, Restaurants",TRUE,u'quiet',FALSE,,u'none',,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,,FALSE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,100543,0
14456,2336,2357,Wendy's,Belmont,NC,28012,35.253329,-81.027326,1,"Fast Food, Burgers, Restaurants",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,,FALSE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,106914,0
14460,2340,97441,Wendy's,Concord,NC,28025,35.4403426,-80.6068409,1,"Burgers, Restaurants, Fast Food",TRUE,'average',FALSE,,'none',FALSE,'free',TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,107065,0
14480,2360,15942,Wendy's,Concord,NC,28027,35.365052,-80.709187,1,"Pretzels, Fast Food, Restaurants, Burgers, Food",TRUE,,FALSE,,,,,TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,,,,,,,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,107990,0
14533,2413,77557,Wendy's,Charlotte,NC,28209,35.172935,-80.8507309,1,"Burgers, Fast Food, Sandwiches, Restaurants",TRUE,,FALSE,,,,,TRUE,TRUE,,,,TRUE,,,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,110308,0
14542,2422,75521,Wendy's,Charlotte,NC,28210,35.09062894,-80.86952977,1,"Hot Dogs, Burgers, Fast Food, Restaurants",TRUE,,FALSE,,'none',,,TRUE,TRUE,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,FALSE,,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,110586,0
14780,2660,64787,Wendy's,Charlotte,NC,28278,35.16378803,-80.9722954,1,"Restaurants, Burgers, Fast Food",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",,,'free',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",FALSE,TRUE,,,,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,119487,0
14920,2800,168598,Wendy's,Charlotte,NC,28216,35.3239736,-80.9460663,1,"Burgers, Restaurants, Hot Dogs, Fast Food",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',,'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,TRUE,TRUE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,124859,0
15016,2896,114323,Wendy's,Charlotte,NC,28217,35.184795,-80.8864407,1,"Fast Food, Burgers, Restaurants",TRUE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',,'no',TRUE,TRUE,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,128814,0
